Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 90.58     86.85    86.85  3517763     0.02     0.02  leveldb::port::AcceleratedCRC32C(unsigned int, char const*, unsigned long)
  5.43     92.06     5.21  3562373     0.00     0.03  leveldb::ReadBlock(leveldb::RandomAccessFile*, leveldb::ReadOptions const&, leveldb::BlockHandle const&, leveldb::BlockContents*)
  1.69     93.68     1.62   899386     0.00     0.00  leveldb::Footer::DecodeFrom(leveldb::Slice*)
  0.64     94.29     0.61  2201652     0.00     0.00  leveldb::FindFile(leveldb::InternalKeyComparator const&, std::vector<leveldb::FileMetaData*, std::allocator<leveldb::FileMetaData*> > const&, leveldb::Slice const&)
  0.37     94.64     0.35  2731991     0.00     0.00  leveldb::Block::Iter::Seek(leveldb::Slice const&)
  0.15     94.78     0.14 46542052     0.00     0.00  leveldb::(anonymous namespace)::BytewiseComparatorImpl::Compare(leveldb::Slice const&, leveldb::Slice const&) const
  0.08     94.86     0.08 41665361     0.00     0.00  leveldb::InternalKeyComparator::Compare(leveldb::Slice const&, leveldb::Slice const&) const
  0.07     94.93     0.07   910634     0.00     0.00  leveldb::Table::~Table()
  0.06     94.99     0.06   917892     0.00     0.00  leveldb::(anonymous namespace)::PosixMmapReadableFile::~PosixMmapReadableFile()
  0.05     95.04     0.05   922485     0.00     0.00  leveldb::(anonymous namespace)::ShardedLRUCache::Insert(leveldb::Slice const&, void*, unsigned long, void (*)(leveldb::Slice const&, void*))
  0.05     95.09     0.05   888657     0.00     0.11  bool CDBWrapper::Read<(anonymous namespace)::KeyEntry, Coin>((anonymous namespace)::KeyEntry const&, Coin&) const [clone .constprop.281]
  0.04     95.13     0.04   961087     0.00     0.00  leveldb::(anonymous namespace)::BloomFilterPolicy::KeyMayMatch(leveldb::Slice const&, leveldb::Slice const&) const
  0.04     95.17     0.04   952480     0.00     0.03  leveldb::Table::BlockReader(void*, leveldb::ReadOptions const&, leveldb::Slice const&)
  0.04     95.21     0.04   902271     0.00     0.00  leveldb::DeleteEntry(leveldb::Slice const&, void*)
  0.04     95.25     0.04   865557     0.00     0.00  leveldb::InternalFilterPolicy::Name() const
  0.03     95.28     0.03  9180671     0.00     0.00  leveldb::GetVarint64(leveldb::Slice*, unsigned long*)
  0.03     95.31     0.03  3705111     0.00     0.00  leveldb::Block::Iter::value() const
  0.03     95.34     0.03  1845877     0.00     0.00  leveldb::(anonymous namespace)::ShardedLRUCache::Lookup(leveldb::Slice const&)
  0.03     95.37     0.03   924426     0.00     0.08  leveldb::Table::Open(leveldb::Options const&, leveldb::RandomAccessFile*, unsigned long, leveldb::Table**)
  0.03     95.40     0.03   888688     0.00     0.11  leveldb::Version::Get(leveldb::ReadOptions const&, leveldb::LookupKey const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, leveldb::Version::GetStats*)
  0.02     95.42     0.02  8170353     0.00     0.00  leveldb::port::Mutex::Lock()
  0.02     95.44     0.02  2673878     0.00     0.00  leveldb::Iterator::~Iterator()
  0.02     95.46     0.02  2639080     0.00     0.00  leveldb::Block::Block(leveldb::BlockContents const&)
  0.02     95.48     0.02  1783209     0.00     0.00  leveldb::(anonymous namespace)::LRUCache::Unref(leveldb::(anonymous namespace)::LRUHandle*)
  0.02     95.50     0.02   979665     0.00     0.00  leveldb::(anonymous namespace)::ShardedLRUCache::Value(leveldb::Cache::Handle*)
  0.02     95.52     0.02   894875     0.00     0.00  leveldb::SaveValue(void*, leveldb::Slice const&, leveldb::Slice const&)
  0.02     95.54     0.02   884049     0.00     0.11  leveldb::DBImpl::Get(leveldb::ReadOptions const&, leveldb::Slice const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.02     95.56     0.02   864027     0.00     0.05  leveldb::Table::ReadMeta(leveldb::Footer const&)
  0.02     95.58     0.02    59916     0.00     0.00  ChaCha20::Output(unsigned char*, unsigned long)
  0.02     95.60     0.02        1    20.00    20.00  leveldb::NewBloomFilterPolicy(int)
  0.02     95.62     0.02                             DeleteAuthCookie()
  0.02     95.64     0.02                             leveldb::(anonymous namespace)::ShardedLRUCache::Erase(leveldb::Slice const&)
  0.02     95.66     0.02                             leveldb::(anonymous namespace)::BytewiseComparatorImpl::FindShortestSeparator(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, leveldb::Slice const&) const
  0.01     95.67     0.01  8161502     0.00     0.00  leveldb::port::Mutex::Unlock()
  0.01     95.68     0.01  5991817     0.00     0.00  void std::vector<char, zero_after_free_allocator<char> >::_M_range_insert<char const*>(__gnu_cxx::__normal_iterator<char*, std::vector<char, zero_after_free_allocator<char> > >, char const*, char const*, std::forward_iterator_tag)
  0.01     95.69     0.01  4550427     0.00     0.00  leveldb::BlockHandle::DecodeFrom(leveldb::Slice*)
  0.01     95.70     0.01  3501299     0.00     0.00  leveldb::crc32c::Extend(unsigned int, char const*, unsigned long)
  0.01     95.71     0.01  2717665     0.00     0.00  leveldb::Block::NewIterator(leveldb::Comparator const*)
  0.01     95.72     0.01  1785708     0.00     0.00  leveldb::Block::Iter::status() const
  0.01     95.73     0.01  1771233     0.00     0.00  leveldb::Block::Iter::key() const
  0.01     95.74     0.01   978670     0.00     0.03  leveldb::Table::InternalGet(leveldb::ReadOptions const&, leveldb::Slice const&, void*, void (*)(void*, leveldb::Slice const&, leveldb::Slice const&))
  0.01     95.75     0.01   960961     0.00     0.00  leveldb::InternalFilterPolicy::KeyMayMatch(leveldb::Slice const&, leveldb::Slice const&) const
  0.01     95.76     0.01   937192     0.00     0.00  leveldb::EncodeVarint32(char*, unsigned int)
  0.01     95.77     0.01   893535     0.00     0.00  leveldb::(anonymous namespace)::PosixEnv::NewRandomAccessFile(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, leveldb::RandomAccessFile**)
  0.01     95.78     0.01   885756     0.00     0.03  leveldb::Table::ReadFilter(leveldb::Slice const&)
  0.01     95.79     0.01   883807     0.00     0.11  leveldb::TableCache::Get(leveldb::ReadOptions const&, unsigned long, unsigned long, leveldb::Slice const&, void*, void (*)(void*, leveldb::Slice const&, leveldb::Slice const&))
  0.01     95.80     0.01   861326     0.00     0.00  leveldb::MakeFileName(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, char const*)
  0.01     95.81     0.01    10308     0.00     0.00  std::_Rb_tree<unsigned long, unsigned long, std::_Identity<unsigned long>, std::less<unsigned long>, std::allocator<unsigned long> >::erase(unsigned long const&)
  0.01     95.82     0.01                             getFromLevelDB(int)
  0.01     95.83     0.01                             leveldb::Comparator::~Comparator()
  0.01     95.84     0.01                             leveldb::VersionSet::CompactRange(int, leveldb::InternalKey const*, leveldb::InternalKey const*)
